Year,Gender,AgeBin,start age,Count,NationalPrevalence,lb,ub
2007,0,[15:20),15,1272,0.019,0.012241271,0.02718735
2007,0,[20:25),20,779,0.124,0.101804361,0.14802354
2007,0,[25:30),25,553,0.278,0.241474011,0.316046877
2007,0,[30:35),30,380,0.437,0.387536706,0.487091492
2007,0,[35:40),35,321,0.449,0.395010065,0.503591963
2007,0,[40:45),40,230,0.407,0.344475137,0.471057077
2007,0,[45:50),45,229,0.279,0.222939736,0.338716268
2007,0,[50:55),50,106,0.283,0.201763453,0.371991128
2007,0,[55:60),55,70,0.174,0.095204718,0.270393992
2007,0,[60:65),60,227,0.133,0.092101132,0.180016282
2007,1,[15:20),15,1151,0.101,0.08426835,0.119044479
2007,1,[20:25),20,922,0.384,0.352869787,0.415606892
2007,1,[25:30),25,648,0.492,0.45357319,0.530473587
2007,1,[30:35),30,536,0.452,0.410092479,0.494246834
2007,1,[35:40),35,441,0.377,0.332371794,0.422684985
2007,1,[40:45),40,382,0.279,0.235212931,0.324978829
2007,1,[45:50),45,342,0.214,0.172229174,0.25893829
2007,1,[50:55),50,144,0.243,0.176733675,0.316025442
2007,1,[55:60),55,102,0.096,0.047047737,0.1598811
2007,1,[60:65),60,342,0.07,0.045469013,0.0992836
2011,0,[15:20),15,997,0.01,0.00480406,0.017044522
2011,0,[20:25),20,2093,0.07,0.05946709,0.081310984
2011,0,[25:30),25,1679,0.21,0.190854919,0.229799423
2011,0,[30:35),30,1267,0.37,0.34362516,0.396763581
2011,0,[35:40),35,993,0.47,0.43903672,0.501077747
2011,0,[40:45),40,726,0.46,0.423885993,0.496322762
2011,0,[45:50),45,571,0.43,0.389676189,0.470788306
2011,1,[15:20),15,989,0.14,0.119087772,0.162290945
2011,1,[20:25),20,2488,0.31,0.291977213,0.328312111
2011,1,[25:30),25,1925,0.47,0.447742143,0.492316902
2011,1,[30:35),30,1361,0.54,0.5134796,0.566409048
2011,1,[35:40),35,1208,0.49,0.461842089,0.518189275
2011,1,[40:45),40,976,0.4,0.369482239,0.430905956
2011,1,[45:50),45,893,0.32,0.289812865,0.350950809
2011,0,[15:20),15,540.72,0.039,0.024373336,0.056847099
2016,0,[20:25),20,901.2,0.042,0.029901674,0.056020622
2016,0,[25:30),25,901.2,0.133,0.111628344,0.155914031
2016,0,[30:35),30,675.9,0.281,0.247767218,0.315460319
2016,0,[35:40),35,540.72,0.419,0.377752213,0.460815374
2016,0,[40:45),40,405.54,0.433,0.385173844,0.481452158
2016,0,[45:50),45,180.24,0.488,0.415439968,0.560812346
2016,0,[50:55),50,135.18,0.419,0.337404345,0.502866542
2016,0,[55:60),55,135.18,0.318,0.242488554,0.39861253
2016,0,[60:65),60,90.12,0.319,0.227389032,0.418220488
2016,1,[15:20),15,642.8,0.072,0.053329097,0.093190596
2016,1,[20:25),20,1414.16,0.209,0.188211684,0.230567871
2016,1,[25:30),25,964.2,0.375,0.344711177,0.405780003
2016,1,[30:35),30,771.36,0.507,0.471733808,0.542231808
2016,1,[35:40),35,771.36,0.542,0.506769095,0.577024603
2016,1,[40:45),40,578.52,0.519,0.478273682,0.559601878
2016,1,[45:50),45,578.52,0.423,0.383044656,0.463459645
2016,1,[50:55),50,257.12,0.361,0.303486799,0.420561585
2016,1,[55:60),55,257.12,0.295,0.240937109,0.352083483
2016,1,[60:65),60,192.84,0.223,0.16723241,0.284207505
